age,job,marital,education,default,balance,housing,loan
54,entrepreneur,divorced,tertiary,no,20527,no,no
34,management,single,tertiary,no,250,no,no
31,self-employed,single,tertiary,no,84,no,yes
53,management,single,primary,no,5558,yes,no
43,technician,married,tertiary,no,1201,no,no
33,technician,married,secondary,no,318,no,no
29,self-employed,single,tertiary,no,300,yes,no
32,admin.,single,secondary,yes,-17,yes,no
46,housemaid,married,primary,no,39,no,no
26,student,single,secondary,no,715,no,no
65,blue-collar,married,primary,no,2552,no,no
34,services,married,secondary,no,0,yes,no
46,services,married,secondary,no,397,yes,yes
35,technician,divorced,tertiary,no,825,yes,no
52,management,married,tertiary,no,2428,yes,no
56,blue-collar,married,primary,no,247,yes,no
33,technician,single,unknown,no,2321,no,no
27,blue-collar,single,secondary,no,113,no,no
58,technician,married,secondary,no,8153,yes,no
35,blue-collar,divorced,primary,no,21,yes,no
27,management,single,tertiary,no,377,no,no
31,technician,single,secondary,no,433,no,yes
26,blue-collar,married,secondary,no,2770,yes,no
46,technician,married,tertiary,no,-369,yes,yes
46,services,married,secondary,no,-119,yes,yes
27,technician,single,secondary,no,639,yes,yes
39,blue-collar,married,secondary,no,8152,no,no
59,retired,married,tertiary,no,279,no,no
38,blue-collar,single,secondary,no,-480,yes,no
36,blue-collar,single,unknown,no,871,yes,no
58,retired,married,unknown,no,9004,yes,no
57,retired,married,secondary,no,374,yes,no
25,blue-collar,single,secondary,no,218,no,yes
51,admin.,single,secondary,no,516,yes,no
31,admin.,divorced,secondary,no,308,yes,no
42,management,divorced,tertiary,no,221,yes,no
34,management,married,tertiary,no,2594,yes,no
50,admin.,divorced,secondary,no,3240,no,no
43,blue-collar,married,primary,no,632,yes,no
32,blue-collar,married,primary,no,634,yes,no
30,self-employed,single,tertiary,no,578,no,no
41,technician,married,secondary,no,1344,no,no
26,blue-collar,married,primary,no,595,yes,yes
58,retired,married,primary,no,331,yes,no
32,blue-collar,married,secondary,no,3228,yes,no
58,retired,married,primary,no,565,no,no
40,blue-collar,married,unknown,no,638,no,yes
33,admin.,married,secondary,no,17,yes,no
29,self-employed,single,tertiary,no,0,yes,no
44,technician,married,secondary,no,-153,no,yes
36,blue-collar,single,secondary,no,459,yes,no
26,blue-collar,married,secondary,no,160,yes,no
44,management,divorced,tertiary,no,134,no,no
36,admin.,married,secondary,no,0,no,no
31,admin.,married,secondary,no,33,yes,no
41,blue-collar,married,primary,no,0,no,no
40,management,married,tertiary,no,3352,no,no
22,blue-collar,married,primary,no,-172,no,no
35,management,married,tertiary,no,648,yes,yes
54,management,married,tertiary,no,1624,no,yes
30,management,single,tertiary,no,2123,no,no
45,self-employed,married,unknown,no,3080,no,no
52,housemaid,divorced,tertiary,no,1241,no,yes
37,services,married,secondary,no,3429,no,no
37,management,single,tertiary,no,600,no,no
51,services,married,secondary,no,917,no,no
48,blue-collar,married,secondary,no,2345,yes,no
56,retired,married,tertiary,no,281,no,no
56,management,married,tertiary,no,935,no,no
43,blue-collar,married,secondary,no,1559,yes,yes
37,technician,married,tertiary,no,16,yes,no
40,services,married,secondary,no,518,no,no
30,technician,single,tertiary,no,2832,no,no
40,technician,married,secondary,no,84,yes,no
35,management,married,tertiary,no,1510,yes,no
30,management,single,tertiary,no,61,yes,yes
32,entrepreneur,single,secondary,no,290,yes,no
33,admin.,single,secondary,no,-371,yes,no
35,management,single,tertiary,no,244,no,no
33,technician,married,secondary,no,620,yes,no
57,retired,married,secondary,no,81,yes,yes
49,unemployed,single,tertiary,no,44,no,no
45,admin.,married,primary,no,96,yes,yes
29,management,single,tertiary,no,0,no,no
46,blue-collar,married,primary,no,7982,yes,no
37,admin.,married,secondary,no,6127,no,no
39,services,single,secondary,no,2453,yes,no
43,services,divorced,secondary,no,0,yes,no
35,blue-collar,married,secondary,no,563,yes,no
45,technician,divorced,secondary,no,5862,no,no
55,blue-collar,married,primary,no,3485,yes,no
59,technician,married,secondary,no,2613,no,no
35,management,married,secondary,no,4135,yes,no
33,blue-collar,married,secondary,no,2254,yes,no
34,management,married,tertiary,no,158,yes,no
43,management,married,tertiary,no,228,yes,no
34,technician,divorced,secondary,no,2036,yes,yes
49,management,single,tertiary,no,163,yes,no
31,management,divorced,tertiary,no,1145,yes,no
47,blue-collar,married,primary,no,0,yes,no
49,blue-collar,married,secondary,no,917,no,no
34,unemployed,single,tertiary,yes,-30,no,no
55,management,married,primary,no,2587,yes,no
45,blue-collar,single,secondary,no,91,no,yes
33,management,married,tertiary,no,335,no,no
40,technician,married,secondary,no,1270,yes,no
77,retired,married,primary,no,2223,no,no
56,retired,married,secondary,no,488,no,no
26,technician,single,secondary,no,1842,yes,no
38,management,single,tertiary,no,-974,no,yes
44,technician,married,secondary,no,1879,yes,no
35,technician,married,secondary,no,905,yes,no
25,blue-collar,single,secondary,no,1163,no,no
46,technician,married,secondary,no,349,yes,no
44,blue-collar,married,primary,no,213,no,no
47,admin.,married,secondary,yes,-571,yes,yes
26,management,single,tertiary,no,390,yes,yes
52,blue-collar,married,secondary,no,157,yes,no
35,blue-collar,divorced,secondary,no,52,yes,no
31,student,single,secondary,no,241,no,no
27,unemployed,single,tertiary,no,93,no,yes
33,blue-collar,married,secondary,no,1924,no,no
61,retired,divorced,secondary,no,3624,no,no
42,blue-collar,married,secondary,no,165,yes,no
31,management,married,tertiary,no,2,no,no
57,retired,married,secondary,no,209,yes,no
38,blue-collar,single,secondary,no,0,yes,no
35,management,married,tertiary,no,0,yes,no
32,admin.,married,secondary,no,51,yes,yes
49,services,married,secondary,no,494,yes,no
25,blue-collar,single,secondary,no,218,no,no
51,blue-collar,married,secondary,no,16,no,no
54,services,married,secondary,no,2431,yes,no
45,management,married,secondary,no,38,yes,no
58,retired,married,primary,no,196,no,yes
31,self-employed,single,tertiary,no,1815,yes,no
46,services,married,secondary,no,692,yes,no
31,management,single,tertiary,no,581,yes,no
31,admin.,married,secondary,no,774,yes,no
36,admin.,married,secondary,no,-206,yes,no
25,admin.,single,tertiary,no,1185,no,no
59,retired,married,tertiary,no,41242,no,no
42,blue-collar,divorced,secondary,no,667,yes,no
30,technician,single,secondary,no,3096,yes,no
28,blue-collar,married,secondary,no,-717,yes,no
43,technician,married,secondary,no,-796,yes,no
43,blue-collar,married,primary,no,3917,yes,no
41,blue-collar,divorced,primary,no,-129,yes,no
28,blue-collar,single,unknown,no,175,no,no
29,management,married,tertiary,no,30,no,no
45,self-employed,married,primary,no,414,no,no
36,technician,married,primary,no,6384,yes,no
56,management,married,tertiary,no,3039,no,no
36,blue-collar,married,primary,no,-20,yes,no
49,services,married,secondary,no,271,no,yes
57,retired,single,primary,no,1640,no,no
36,admin.,married,secondary,no,-118,yes,no
30,management,divorced,tertiary,no,667,yes,no
56,blue-collar,married,primary,no,3206,no,no
34,management,married,tertiary,no,815,no,no
35,blue-collar,single,secondary,no,278,yes,no
56,blue-collar,married,secondary,no,68,yes,no
30,admin.,married,secondary,no,779,yes,no
44,management,single,tertiary,no,-1313,yes,yes
65,management,married,tertiary,no,3951,no,no
33,blue-collar,married,secondary,no,315,yes,no
33,technician,married,secondary,no,152,yes,no
49,admin.,married,secondary,no,1323,yes,no
35,technician,single,secondary,no,79,yes,no
30,technician,single,tertiary,no,198,no,no
30,management,married,tertiary,no,4022,yes,no
49,services,divorced,secondary,no,3649,no,no
53,blue-collar,married,primary,no,1409,yes,no
35,services,married,secondary,no,5029,yes,yes
29,services,single,secondary,no,32,yes,no
60,services,single,unknown,no,2021,no,no
41,management,divorced,tertiary,no,4567,yes,no
55,housemaid,married,secondary,no,167,yes,no
31,management,single,tertiary,no,-208,yes,yes
58,management,married,primary,no,320,no,no
39,entrepreneur,married,tertiary,no,0,yes,yes
34,blue-collar,single,secondary,no,0,yes,no
38,management,married,primary,no,0,yes,no
39,admin.,married,secondary,no,104,yes,no
26,blue-collar,married,secondary,no,1101,no,no
31,blue-collar,married,secondary,no,255,yes,yes
32,services,married,secondary,no,-479,yes,no
24,admin.,single,secondary,no,-507,yes,no
54,entrepreneur,married,secondary,no,2791,no,no
40,blue-collar,married,secondary,no,6536,no,no
41,services,married,secondary,no,6687,yes,no
37,management,single,tertiary,no,105,yes,no
53,services,single,secondary,no,1788,no,no
53,retired,married,unknown,no,390,no,no
37,technician,married,secondary,no,1824,yes,no
23,student,single,secondary,no,1021,yes,no
45,entrepreneur,single,tertiary,no,744,yes,no
27,management,single,tertiary,no,1081,yes,no
43,admin.,married,secondary,no,316,yes,no
31,admin.,married,primary,no,-581,yes,no
36,services,single,secondary,no,14,yes,no
41,management,married,unknown,no,23,no,no
41,technician,married,secondary,no,2851,yes,no
44,management,divorced,tertiary,yes,-701,no,yes
44,technician,married,secondary,no,185,no,no
32,admin.,divorced,secondary,no,298,yes,yes
25,admin.,married,secondary,no,894,yes,no
54,entrepreneur,married,tertiary,no,345,yes,no
39,management,divorced,tertiary,no,3261,yes,yes
41,unemployed,single,tertiary,no,308,no,no
52,admin.,single,secondary,no,2332,no,no
31,technician,single,tertiary,no,44,yes,no
37,unemployed,single,primary,no,1241,yes,no
46,services,married,secondary,no,1381,yes,no
40,admin.,married,secondary,no,2621,yes,yes
34,blue-collar,married,secondary,no,398,yes,no
52,housemaid,married,tertiary,no,554,no,no
55,retired,married,secondary,no,143,no,yes
30,blue-collar,married,primary,no,5956,yes,no
43,blue-collar,married,secondary,no,101,yes,no
31,services,single,secondary,no,2252,no,no
59,technician,married,secondary,no,259,no,no
44,blue-collar,married,unknown,no,1149,yes,no
35,management,married,tertiary,no,244,yes,no
40,housemaid,married,primary,no,118,no,no
37,technician,single,secondary,no,363,yes,yes
31,admin.,married,secondary,no,113,yes,yes
35,technician,married,secondary,no,0,no,no
48,blue-collar,married,secondary,no,-6,yes,yes
38,blue-collar,married,secondary,no,1116,yes,no
31,services,single,secondary,no,91,yes,no
41,self-employed,married,tertiary,no,355,yes,no
52,blue-collar,married,unknown,no,635,yes,no
57,services,divorced,secondary,no,4664,no,no
29,entrepreneur,married,primary,no,501,yes,no
33,entrepreneur,single,secondary,no,278,yes,no
35,blue-collar,married,secondary,no,474,yes,no
46,self-employed,single,secondary,no,526,no,no
38,blue-collar,married,secondary,no,-390,yes,no
41,entrepreneur,married,tertiary,no,171,yes,no
48,management,single,tertiary,no,648,yes,no
46,management,married,secondary,no,12186,yes,no
34,management,married,tertiary,no,0,no,no
30,unemployed,single,tertiary,no,302,no,no
31,unknown,married,tertiary,no,2860,no,no
37,admin.,divorced,secondary,no,3834,yes,no
46,technician,married,secondary,no,2098,yes,no
42,technician,single,tertiary,no,671,no,no
24,services,single,secondary,no,258,yes,no
38,services,married,secondary,no,-314,yes,no
46,management,married,tertiary,no,-71,yes,no
60,services,married,secondary,no,594,yes,no
34,technician,married,secondary,no,367,yes,yes
45,blue-collar,married,primary,no,333,yes,no
41,management,married,secondary,no,148,yes,no
36,technician,single,secondary,no,539,yes,no
34,entrepreneur,married,secondary,no,-139,yes,no
46,management,married,secondary,no,21,yes,no
67,retired,married,secondary,no,1443,no,no
26,management,single,tertiary,no,8303,no,no
29,entrepreneur,single,secondary,no,158,yes,no
50,housemaid,married,primary,no,85,yes,yes
42,blue-collar,married,secondary,no,-1664,yes,no
42,entrepreneur,married,secondary,no,-480,no,no
48,blue-collar,married,unknown,no,131,yes,no
31,self-employed,single,tertiary,no,17924,no,no
27,services,single,secondary,no,5850,yes,no
31,blue-collar,single,secondary,no,0,yes,no
41,services,married,secondary,no,2085,yes,no
57,retired,married,tertiary,no,1292,no,no
36,entrepreneur,married,tertiary,no,247,yes,no
37,blue-collar,divorced,primary,no,139,yes,no
31,management,single,tertiary,no,874,yes,no
32,technician,single,tertiary,no,705,yes,no
34,services,married,secondary,no,-333,yes,no
59,housemaid,married,primary,no,153,no,no
35,technician,married,tertiary,no,0,yes,yes
32,unemployed,divorced,primary,no,1804,yes,no
43,self-employed,divorced,secondary,no,1876,no,no
27,management,single,tertiary,no,154,no,yes
60,retired,married,primary,no,957,no,no
34,management,single,tertiary,no,747,no,no
30,services,single,secondary,no,-271,yes,no
36,management,married,tertiary,no,114,no,yes
26,technician,single,secondary,no,1842,yes,no
36,blue-collar,married,secondary,no,141,yes,no
35,management,married,tertiary,no,552,yes,no
41,self-employed,married,tertiary,no,-195,yes,no
39,technician,single,tertiary,no,54,yes,no
33,blue-collar,married,secondary,no,-338,yes,no
54,technician,married,tertiary,no,417,no,no
34,technician,single,tertiary,no,-552,yes,no
49,management,married,tertiary,yes,0,no,no
40,entrepreneur,married,tertiary,no,70,no,no
37,technician,married,secondary,no,439,yes,no
29,student,single,secondary,no,181,yes,no
55,blue-collar,married,primary,no,1086,yes,no
22,blue-collar,single,secondary,no,104,yes,yes
39,blue-collar,divorced,primary,no,1317,yes,no
51,entrepreneur,married,tertiary,no,3921,yes,no
31,technician,married,tertiary,no,636,no,no
55,technician,married,tertiary,no,874,no,no
41,services,single,secondary,no,323,no,no
58,unknown,married,unknown,no,4967,no,no
33,services,married,secondary,no,403,yes,no
32,admin.,single,tertiary,no,1531,yes,no
66,housemaid,married,primary,yes,1238,no,no
41,admin.,divorced,tertiary,no,861,yes,no
43,blue-collar,married,secondary,no,490,yes,no
32,blue-collar,married,secondary,no,9714,yes,yes
27,blue-collar,single,secondary,no,1,no,no
58,blue-collar,married,primary,no,0,no,no
28,blue-collar,married,primary,no,3267,yes,no
59,technician,married,secondary,no,0,no,no
26,services,single,secondary,no,76,yes,no
46,services,married,secondary,no,-204,no,yes
50,blue-collar,married,primary,no,1533,yes,no
35,management,married,tertiary,no,1650,yes,no
43,admin.,single,secondary,no,375,no,yes
27,student,single,tertiary,no,524,no,no
26,technician,divorced,secondary,no,523,yes,no
36,management,divorced,tertiary,no,1057,yes,no
41,blue-collar,married,secondary,no,475,yes,no
43,services,married,primary,no,-88,yes,yes
44,admin.,single,primary,yes,-146,yes,yes
50,management,single,tertiary,no,1300,no,no
41,technician,married,tertiary,no,177,no,no
31,management,married,tertiary,no,2652,yes,no
27,technician,single,secondary,no,740,yes,no
32,technician,single,secondary,no,109,yes,no
44,management,married,tertiary,yes,0,no,no
48,admin.,married,secondary,no,368,no,no
31,technician,single,secondary,no,1186,no,no
24,technician,single,secondary,no,393,no,no
49,blue-collar,married,primary,no,247,no,no
30,technician,single,tertiary,no,3086,yes,no
59,management,married,tertiary,no,3342,yes,no
60,blue-collar,divorced,primary,no,2147,no,no
33,technician,married,tertiary,no,79,no,no
31,services,divorced,secondary,no,81,no,no
59,admin.,divorced,secondary,no,39,no,yes
52,admin.,married,secondary,no,395,no,yes
40,services,married,secondary,no,51,yes,no
37,self-employed,married,tertiary,no,804,yes,no
52,management,married,tertiary,no,2578,no,no
34,services,married,unknown,no,221,yes,no
45,blue-collar,married,primary,no,353,yes,no
31,management,single,tertiary,no,587,no,no
42,unknown,single,secondary,no,703,no,no
44,admin.,married,secondary,yes,-612,yes,no
26,self-employed,single,secondary,no,1242,no,no
34,technician,single,tertiary,no,2521,no,no
56,management,married,tertiary,no,-45,yes,no
39,management,married,tertiary,yes,47,yes,yes
60,management,married,tertiary,no,21088,yes,no
54,management,married,tertiary,no,1464,no,no
