id,Marital Status,Gender,Yearly Income,Children,Education,Occupation,Home Owner,Cars,Commute Distance,Region,Age,y
11260,Married,Male,10000,0,High School,Manual,Yes,2,0-1 Miles,Europe,55,0
11262,Married,Male,50000,2,Bachelors,Skilled Manual,Yes,1,2-5 Miles,North America,39,1
11268,Married,Female,80000,0,Bachelors,Management,Yes,2,5-10 Miles,North America,64,0
11280,Single,Female,80000,5,Graduate Degree,Management,Yes,2,0-1 Miles,Pacific,39,0
11281,Married,Female,60000,1,Partial College,Professional,Yes,1,2-5 Miles,North America,55,0
11285,Married,Female,40000,0,Bachelors,Professional,No,2,1-2 Miles,North America,29,0
11287,Single,Male,20000,0,High School,Manual,No,1,2-5 Miles,Europe,29,0
11288,Single,Male,10000,0,Graduate Degree,Manual,Yes,0,0-1 Miles,Europe,39,0
11292,Married,Female,20000,0,Partial College,Manual,Yes,0,0-1 Miles,Europe,64,0
11302,Married,Male,40000,0,High School,Professional,No,2,10+ Miles,North America,61,0
11304,Married,Male,130000,3,Graduate Degree,Management,Yes,3,0-1 Miles,North America,69,0
11305,Single,Female,80000,0,Partial High School,Skilled Manual,Yes,2,5-10 Miles,North America,50,0
11310,Married,Female,50000,0,Graduate Degree,Management,Yes,2,5-10 Miles,North America,72,0
11311,Married,Male,60000,1,Partial College,Professional,Yes,2,10+ Miles,North America,55,0
11313,Married,Female,80000,4,Graduate Degree,Management,Yes,1,0-1 Miles,Pacific,36,0
11321,Single,Female,80000,0,Bachelors,Professional,No,3,10+ Miles,Pacific,31,0
11327,Married,Male,70000,0,Bachelors,Professional,No,1,0-1 Miles,Pacific,41,0
11330,Single,Female,70000,0,Bachelors,Management,No,2,1-2 Miles,North America,62,0
11347,Single,Male,10000,2,Partial High School,Manual,Yes,2,0-1 Miles,Europe,43,0
11348,Single,Male,60000,3,Bachelors,Professional,Yes,2,5-10 Miles,Pacific,42,0
11350,Single,Female,30000,0,Graduate Degree,Skilled Manual,Yes,0,1-2 Miles,North America,32,1
11355,Married,Female,80000,3,Partial College,Professional,Yes,2,2-5 Miles,North America,43,0
11359,Married,Male,20000,0,Partial High School,Manual,Yes,2,1-2 Miles,Europe,34,0
11361,Single,Male,110000,5,High School,Management,Yes,3,10+ Miles,Europe,57,1
11362,Single,Male,30000,2,Partial College,Clerical,Yes,2,0-1 Miles,Europe,43,0
11366,Single,Female,30000,0,High School,Skilled Manual,Yes,2,5-10 Miles,North America,25,0
11367,Single,Male,60000,2,Bachelors,Professional,No,2,0-1 Miles,Pacific,43,0
11371,Single,Male,80000,0,Partial High School,Skilled Manual,Yes,2,5-10 Miles,North America,51,0
11374,Married,Female,40000,0,Partial College,Professional,Yes,2,5-10 Miles,North America,55,0
11375,Married,Male,30000,0,Bachelors,Skilled Manual,Yes,1,2-5 Miles,North America,53,0
11383,Single,Female,70000,0,Bachelors,Professional,No,1,0-1 Miles,Pacific,38,1
11392,Single,Male,50000,0,Graduate Degree,Skilled Manual,No,0,1-2 Miles,Europe,36,0
11396,Married,Female,40000,0,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,38,1
11397,Single,Female,40000,0,Partial College,Skilled Manual,No,1,1-2 Miles,North America,32,0
11399,Married,Female,90000,4,Bachelors,Professional,Yes,0,0-1 Miles,Pacific,38,0
11404,Single,Male,70000,5,Bachelors,Professional,Yes,3,10+ Miles,Pacific,39,0
11405,Married,Female,70000,3,Partial College,Professional,Yes,1,2-5 Miles,North America,53,0
11407,Married,Male,90000,4,Bachelors,Management,Yes,0,1-2 Miles,North America,38,0
11408,Married,Male,30000,0,Bachelors,Skilled Manual,Yes,1,2-5 Miles,North America,75,0
11410,Single,Male,70000,5,Bachelors,Professional,Yes,3,10+ Miles,Pacific,38,0
11411,Single,Male,30000,0,High School,Manual,No,1,2-5 Miles,Europe,34,0
11415,Married,Female,40000,0,Partial College,Clerical,Yes,1,0-1 Miles,North America,50,0
11418,Married,Male,130000,5,High School,Management,Yes,4,10+ Miles,Europe,58,0
11426,Single,Male,40000,1,Partial High School,Skilled Manual,Yes,2,10+ Miles,North America,56,0
11435,Single,Male,160000,3,Partial College,Professional,No,3,2-5 Miles,North America,46,0
11436,Single,Female,80000,0,Partial College,Professional,No,2,10+ Miles,Europe,60,0
11438,Married,Male,60000,0,High School,Professional,No,2,1-2 Miles,North America,50,1
11441,Married,Female,60000,3,Bachelors,Professional,Yes,0,0-1 Miles,North America,47,0
11442,Single,Male,90000,3,High School,Professional,Yes,2,5-10 Miles,North America,45,0
11451,Married,Male,40000,0,Bachelors,Management,Yes,2,5-10 Miles,Pacific,67,0
11458,Single,Female,10000,0,Partial High School,Manual,No,2,0-1 Miles,Europe,33,0
11459,Married,Male,60000,1,Partial College,Professional,Yes,1,10+ Miles,North America,58,0
11463,Married,Male,60000,0,Bachelors,Professional,Yes,1,2-5 Miles,North America,48,1
11466,Single,Male,70000,0,Partial College,Skilled Manual,Yes,1,2-5 Miles,North America,39,0
11474,Married,Female,30000,0,High School,Skilled Manual,No,2,0-1 Miles,North America,50,0
11478,Married,Female,120000,4,Graduate Degree,Management,Yes,3,2-5 Miles,North America,68,0
11486,Single,Female,30000,0,Partial College,Skilled Manual,No,1,1-2 Miles,North America,28,0
11487,Married,Female,40000,0,Partial College,Clerical,Yes,1,1-2 Miles,North America,50,0
11490,Single,Female,50000,4,Bachelors,Skilled Manual,No,3,10+ Miles,North America,42,0
11495,Married,Male,40000,0,Bachelors,Skilled Manual,Yes,0,0-1 Miles,Europe,40,0
11498,Single,Male,80000,5,Graduate Degree,Management,Yes,3,0-1 Miles,Pacific,40,0
11499,Married,Female,70000,5,Graduate Degree,Professional,Yes,2,2-5 Miles,North America,37,0
11502,Single,Female,80000,0,Bachelors,Professional,Yes,3,10+ Miles,Pacific,32,0
11504,Single,Female,20000,1,High School,Manual,No,1,1-2 Miles,Europe,40,0
11506,Married,Female,40000,0,High School,Professional,No,2,2-5 Miles,North America,61,0
11507,Married,Male,20000,0,Partial High School,Manual,No,2,0-1 Miles,Europe,35,0
11509,Married,Male,130000,2,Graduate Degree,Management,Yes,2,0-1 Miles,North America,42,0
11511,Single,Female,30000,3,Partial College,Clerical,Yes,2,0-1 Miles,Europe,28,0
11514,Single,Male,160000,0,Graduate Degree,Management,No,4,0-1 Miles,North America,73,0
11518,Married,Male,70000,0,Partial College,Skilled Manual,Yes,1,2-5 Miles,North America,44,1
11519,Married,Male,10000,1,Partial High School,Clerical,Yes,2,1-2 Miles,Pacific,61,0
11521,Single,Female,70000,1,Partial College,Professional,Yes,1,2-5 Miles,North America,59,1
11527,Married,Male,110000,3,Bachelors,Management,Yes,0,5-10 Miles,North America,43,0
11530,Single,Male,70000,0,Partial High School,Skilled Manual,No,2,1-2 Miles,North America,52,0
11532,Single,Male,80000,0,Partial College,Professional,No,2,10+ Miles,Europe,60,0
11533,Single,Female,120000,5,High School,Management,Yes,4,10+ Miles,Europe,59,0
11536,Married,Male,90000,0,Bachelors,Management,Yes,2,5-10 Miles,North America,64,0
11542,Married,Female,40000,0,Bachelors,Professional,No,1,0-1 Miles,North America,39,0
11544,Married,Male,100000,2,Partial College,Professional,Yes,4,1-2 Miles,North America,44,0
11545,Married,Female,160000,5,Partial College,Management,No,3,10+ Miles,Europe,56,0
11552,Married,Female,100000,3,Partial College,Professional,Yes,4,2-5 Miles,Europe,50,0
11553,Married,Male,20000,0,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,45,0
11554,Married,Female,90000,4,Bachelors,Management,Yes,1,0-1 Miles,North America,38,0
11555,Single,Female,30000,0,Partial College,Skilled Manual,No,1,1-2 Miles,North America,28,0
11556,Single,Female,30000,0,Partial College,Clerical,No,1,0-1 Miles,Europe,31,0
11557,Married,Male,60000,0,Partial College,Skilled Manual,Yes,1,0-1 Miles,North America,46,1
11558,Married,Female,110000,5,Partial College,Management,Yes,3,10+ Miles,Pacific,32,0
11560,Married,Male,50000,3,Bachelors,Skilled Manual,Yes,1,2-5 Miles,North America,41,0
11562,Single,Male,30000,0,Partial High School,Clerical,No,2,0-1 Miles,North America,29,0
11563,Single,Female,20000,0,High School,Skilled Manual,Yes,2,5-10 Miles,Pacific,60,0
11566,Single,Female,40000,0,High School,Skilled Manual,No,2,1-2 Miles,North America,30,0
11573,Married,Male,70000,0,Graduate Degree,Professional,Yes,0,2-5 Miles,North America,36,1
11589,Single,Male,40000,4,Partial College,Clerical,Yes,1,0-1 Miles,North America,31,0
11595,Single,Female,90000,0,Partial College,Professional,No,2,10+ Miles,Europe,61,0
11597,Single,Male,40000,0,High School,Professional,Yes,2,10+ Miles,North America,59,0
11608,Married,Male,60000,3,Bachelors,Skilled Manual,Yes,0,2-5 Miles,North America,40,0
11619,Married,Female,30000,0,High School,Skilled Manual,No,2,0-1 Miles,North America,26,0
11627,Married,Male,80000,3,Partial College,Professional,Yes,2,0-1 Miles,North America,42,0
11631,Married,Male,70000,1,Partial High School,Skilled Manual,Yes,2,10+ Miles,North America,53,0
11633,Single,Female,60000,0,Partial College,Professional,No,2,1-2 Miles,North America,32,0
11634,Married,Male,70000,1,Partial College,Professional,Yes,1,10+ Miles,North America,59,0
11637,Married,Female,130000,1,Graduate Degree,Management,Yes,1,5-10 Miles,Pacific,48,1
11638,Single,Female,90000,1,High School,Professional,Yes,2,10+ Miles,Europe,55,0
11639,Married,Male,40000,1,High School,Professional,Yes,2,10+ Miles,North America,58,0
11640,Married,Male,70000,0,Graduate Degree,Management,Yes,1,2-5 Miles,North America,77,0
11643,Married,Female,120000,4,High School,Professional,Yes,4,5-10 Miles,Europe,49,0
11645,Married,Female,40000,0,Bachelors,Management,Yes,2,0-1 Miles,Pacific,65,0
11646,Single,Male,40000,0,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,37,1
11649,Married,Male,40000,2,Partial College,Clerical,No,0,0-1 Miles,Europe,34,0
11650,Married,Male,30000,0,High School,Skilled Manual,Yes,2,1-2 Miles,North America,50,0
11661,Single,Female,10000,2,Partial High School,Manual,Yes,1,0-1 Miles,Europe,42,0
11667,Single,Female,130000,5,Partial High School,Management,No,4,10+ Miles,Pacific,35,0
11668,Single,Female,30000,1,Bachelors,Clerical,No,1,0-1 Miles,Europe,39,0
11669,Single,Female,20000,0,High School,Manual,Yes,1,2-5 Miles,Europe,30,0
11674,Single,Female,30000,2,Partial College,Clerical,Yes,0,0-1 Miles,Europe,42,0
11676,Single,Female,40000,0,Bachelors,Professional,No,1,2-5 Miles,North America,42,0
11679,Single,Male,30000,0,High School,Skilled Manual,No,2,0-1 Miles,North America,26,0
11681,Married,Female,60000,0,Bachelors,Professional,Yes,1,2-5 Miles,North America,48,0
11691,Single,Male,100000,1,Bachelors,Management,No,4,0-1 Miles,North America,41,0
11692,Single,Male,30000,0,High School,Manual,No,1,1-2 Miles,Europe,28,0
11695,Married,Male,70000,4,Partial College,Skilled Manual,No,3,10+ Miles,Pacific,46,0
11700,Married,Male,80000,3,Bachelors,Skilled Manual,Yes,2,0-1 Miles,North America,41,0
11701,Married,Male,80000,0,Graduate Degree,Skilled Manual,Yes,0,1-2 Miles,North America,48,0
11709,Married,Female,40000,3,High School,Skilled Manual,Yes,2,2-5 Miles,North America,44,0
11710,Single,Male,40000,0,High School,Skilled Manual,Yes,2,5-10 Miles,North America,31,0
11711,Single,Male,70000,0,Partial High School,Skilled Manual,Yes,2,5-10 Miles,North America,49,0
11712,Single,Female,10000,0,Partial College,Manual,Yes,0,0-1 Miles,Europe,50,0
11713,Married,Female,40000,0,Partial College,Skilled Manual,Yes,2,5-10 Miles,North America,29,0
11715,Married,Female,110000,4,Partial College,Professional,Yes,4,10+ Miles,Europe,51,0
11716,Single,Male,10000,1,Partial High School,Clerical,Yes,2,5-10 Miles,Pacific,57,0
11718,Married,Male,40000,0,Partial College,Clerical,Yes,1,1-2 Miles,North America,51,0
11719,Married,Male,130000,5,High School,Management,No,4,10+ Miles,Pacific,33,0
11723,Married,Female,170000,1,Graduate Degree,Management,Yes,4,0-1 Miles,North America,68,0
11724,Married,Male,40000,3,High School,Skilled Manual,Yes,3,10+ Miles,North America,45,0
11730,Single,Female,70000,0,Partial High School,Skilled Manual,No,2,1-2 Miles,North America,52,0
11731,Married,Male,10000,0,Partial College,Manual,No,1,0-1 Miles,Pacific,26,0
11735,Single,Female,40000,0,Partial College,Clerical,No,1,1-2 Miles,North America,47,1
11740,Married,Male,30000,0,Partial College,Clerical,No,2,1-2 Miles,Pacific,56,1
11747,Single,Female,110000,0,Graduate Degree,Management,No,3,1-2 Miles,Pacific,39,0
11748,Single,Female,20000,0,Partial High School,Manual,No,1,5-10 Miles,Europe,31,0
11752,Married,Female,40000,0,Graduate Degree,Skilled Manual,Yes,0,1-2 Miles,North America,33,0
11753,Single,Female,60000,0,High School,Professional,Yes,2,5-10 Miles,North America,49,0
11757,Married,Male,110000,3,Partial College,Professional,Yes,4,5-10 Miles,North America,45,0
11758,Married,Female,120000,3,Graduate Degree,Management,Yes,4,2-5 Miles,North America,71,0
11761,Married,Male,70000,4,Bachelors,Professional,Yes,2,5-10 Miles,Pacific,44,0
11769,Married,Female,30000,0,Partial College,Clerical,No,2,5-10 Miles,Pacific,65,0
11770,Single,Female,40000,3,Partial College,Clerical,No,2,0-1 Miles,North America,32,0
11771,Married,Female,60000,0,Graduate Degree,Management,Yes,2,10+ Miles,North America,64,0
11782,Married,Female,50000,1,Bachelors,Skilled Manual,Yes,0,0-1 Miles,North America,34,0
11786,Single,Female,60000,4,Bachelors,Skilled Manual,Yes,2,2-5 Miles,North America,42,0
11787,Married,Male,60000,0,Partial College,Skilled Manual,Yes,1,0-1 Miles,Pacific,45,1
11788,Married,Male,30000,0,High School,Skilled Manual,Yes,2,1-2 Miles,North America,50,0
11789,Married,Male,30000,1,Bachelors,Skilled Manual,Yes,2,0-1 Miles,Europe,40,0
11792,Married,Female,70000,5,Graduate Degree,Professional,No,2,0-1 Miles,North America,37,0
11794,Single,Female,10000,0,High School,Manual,No,2,0-1 Miles,Europe,55,0
11795,Single,Female,60000,0,Graduate Degree,Professional,Yes,0,2-5 Miles,North America,40,1
11800,Married,Male,20000,1,Partial High School,Clerical,Yes,2,0-1 Miles,North America,49,0
11802,Married,Male,60000,0,Graduate Degree,Skilled Manual,Yes,0,1-2 Miles,North America,47,0
11803,Single,Male,80000,0,Graduate Degree,Professional,No,0,0-1 Miles,North America,36,1
11804,Married,Female,100000,5,High School,Management,Yes,3,10+ Miles,Pacific,34,0
11805,Married,Male,70000,0,Bachelors,Professional,No,1,0-1 Miles,Pacific,42,1
11806,Married,Male,70000,4,Partial College,Skilled Manual,No,2,0-1 Miles,Pacific,44,0
11807,Single,Female,10000,2,Partial High School,Manual,Yes,2,0-1 Miles,Europe,42,0
11819,Single,Female,30000,0,High School,Manual,Yes,1,2-5 Miles,Europe,28,0
11821,Married,Male,60000,0,Bachelors,Professional,Yes,3,10+ Miles,Pacific,31,0
11824,Married,Male,40000,1,Partial High School,Skilled Manual,Yes,2,10+ Miles,North America,56,0
11838,Married,Male,100000,1,Bachelors,Management,Yes,1,10+ Miles,Pacific,47,0
11842,Married,Female,110000,5,Partial College,Management,Yes,3,10+ Miles,Pacific,32,0
11845,Married,Female,30000,1,Bachelors,Skilled Manual,Yes,2,0-1 Miles,Europe,40,0
11847,Married,Male,90000,0,Graduate Degree,Management,Yes,1,5-10 Miles,North America,74,0
11849,Married,Female,20000,2,High School,Manual,Yes,2,0-1 Miles,Europe,41,0
11853,Married,Female,40000,0,Partial College,Professional,Yes,2,5-10 Miles,North America,71,0
11855,Single,Female,30000,2,Partial College,Clerical,Yes,0,0-1 Miles,Europe,43,0
11856,Married,Female,80000,5,Graduate Degree,Management,Yes,3,0-1 Miles,Pacific,39,0
11858,Single,Female,60000,0,High School,Professional,No,2,1-2 Miles,North America,32,0
11859,Married,Male,60000,0,Partial College,Skilled Manual,No,1,0-1 Miles,North America,47,0
11861,Single,Female,80000,3,Partial College,Professional,No,2,0-1 Miles,North America,43,0
11862,Single,Female,40000,0,High School,Skilled Manual,Yes,2,5-10 Miles,North America,27,0
11864,Married,Male,40000,0,Bachelors,Professional,Yes,0,0-1 Miles,Europe,41,0
11869,Married,Female,40000,0,Partial College,Clerical,Yes,1,1-2 Miles,North America,49,0
11870,Married,Male,40000,0,Bachelors,Skilled Manual,Yes,0,0-1 Miles,Europe,43,1
11874,Married,Female,10000,1,High School,Manual,Yes,1,2-5 Miles,Europe,47,0
11875,Single,Male,20000,0,Partial High School,Manual,Yes,2,1-2 Miles,Europe,35,0
11876,Married,Male,40000,0,Partial College,Skilled Manual,No,1,1-2 Miles,North America,30,0
11878,Married,Male,90000,5,Partial College,Professional,Yes,3,0-1 Miles,North America,42,0
11880,Single,Female,60000,0,Bachelors,Professional,No,1,0-1 Miles,North America,38,0
11881,Married,Female,20000,0,Partial College,Manual,Yes,1,2-5 Miles,Europe,54,1
11882,Single,Female,20000,1,Partial College,Manual,No,1,0-1 Miles,Europe,38,0
11883,Single,Female,50000,0,Graduate Degree,Management,No,2,1-2 Miles,North America,69,0
11884,Single,Female,130000,4,Partial College,Professional,No,4,0-1 Miles,Europe,52,0
11887,Married,Female,100000,4,Partial College,Professional,No,4,5-10 Miles,Europe,55,0
11889,Single,Female,20000,0,Partial College,Manual,No,0,0-1 Miles,Pacific,29,1
11891,Married,Female,90000,3,High School,Professional,Yes,2,5-10 Miles,North America,46,0
11892,Married,Male,30000,1,Partial High School,Skilled Manual,No,2,1-2 Miles,North America,61,0
11909,Single,Male,20000,0,Partial High School,Manual,No,2,0-1 Miles,Europe,35,0
11911,Married,Female,120000,5,High School,Management,Yes,4,10+ Miles,Europe,59,0
11917,Single,Female,30000,0,High School,Skilled Manual,No,2,0-1 Miles,North America,30,0
11922,Single,Female,10000,2,High School,Manual,No,0,0-1 Miles,Europe,36,0
11923,Married,Male,80000,3,Bachelors,Skilled Manual,Yes,1,2-5 Miles,North America,40,0
11926,Married,Male,40000,0,Partial College,Clerical,Yes,1,0-1 Miles,North America,52,1
11927,Single,Female,100000,4,Partial College,Management,No,4,5-10 Miles,Europe,56,0
11928,Single,Female,50000,2,Bachelors,Skilled Manual,No,2,0-1 Miles,North America,42,0
11932,Married,Male,80000,5,Bachelors,Professional,Yes,4,1-2 Miles,Pacific,38,0
11934,Married,Male,20000,0,High School,Skilled Manual,Yes,2,5-10 Miles,Pacific,62,0
11936,Married,Female,30000,0,High School,Skilled Manual,Yes,2,5-10 Miles,Pacific,54,0
11940,Married,Male,70000,1,Partial High School,Skilled Manual,No,2,2-5 Miles,North America,54,1
11948,Married,Female,80000,1,High School,Management,Yes,3,10+ Miles,Europe,57,0
11950,Single,Female,30000,3,Partial College,Clerical,Yes,1,0-1 Miles,Europe,27,0
11951,Married,Male,90000,1,High School,Professional,Yes,3,2-5 Miles,Europe,55,0
11958,Married,Male,80000,0,Bachelors,Professional,No,4,10+ Miles,Pacific,35,0
11965,Single,Female,20000,0,Partial High School,Manual,Yes,2,1-2 Miles,Europe,35,0
11966,Married,Female,110000,4,Bachelors,Management,Yes,4,5-10 Miles,Europe,61,0
11971,Married,Male,60000,1,Graduate Degree,Skilled Manual,Yes,0,1-2 Miles,North America,35,0
11972,Married,Female,90000,0,Partial High School,Skilled Manual,No,2,5-10 Miles,Europe,59,0
11973,Single,Female,130000,2,Graduate Degree,Management,No,3,1-2 Miles,North America,72,0
11974,Married,Male,80000,0,Graduate Degree,Skilled Manual,No,0,0-1 Miles,North America,48,0
11975,Married,Male,40000,0,Bachelors,Professional,No,1,0-1 Miles,North America,46,0
11978,Single,Female,60000,0,Graduate Degree,Professional,No,1,2-5 Miles,North America,39,0
11980,Married,Female,10000,2,Partial High School,Manual,Yes,2,0-1 Miles,Europe,43,0
11984,Single,Female,30000,2,Partial College,Clerical,Yes,2,0-1 Miles,Europe,42,0
11985,Married,Female,70000,5,Graduate Degree,Professional,Yes,3,10+ Miles,North America,47,0
11987,Married,Male,60000,1,Partial College,Professional,Yes,2,10+ Miles,North America,58,0
12012,Married,Male,110000,5,Partial College,Management,No,3,10+ Miles,Pacific,33,0
12013,Married,Male,60000,1,Partial College,Professional,Yes,2,10+ Miles,North America,55,0
12014,Single,Female,20000,0,Partial High School,Clerical,No,2,1-2 Miles,North America,50,0
12015,Married,Male,30000,0,High School,Skilled Manual,Yes,2,1-2 Miles,North America,49,0
12029,Single,Female,40000,0,Partial College,Clerical,Yes,2,5-10 Miles,Pacific,54,0
12034,Married,Male,70000,0,Bachelors,Management,No,2,1-2 Miles,North America,62,0
12035,Married,Male,60000,0,High School,Professional,No,2,5-10 Miles,North America,50,0
12042,Single,Male,30000,2,Partial College,Clerical,Yes,2,0-1 Miles,Europe,42,1
12044,Married,Male,40000,0,High School,Skilled Manual,Yes,2,5-10 Miles,North America,31,0
12046,Single,Male,70000,0,Graduate Degree,Skilled Manual,Yes,0,1-2 Miles,North America,75,0
12047,Married,Female,90000,4,Partial College,Skilled Manual,Yes,3,1-2 Miles,North America,38,0
12048,Married,Female,160000,5,Partial High School,Professional,No,4,10+ Miles,Pacific,34,0
12049,Married,Female,20000,1,Partial High School,Clerical,Yes,2,0-1 Miles,North America,49,0
12054,Single,Male,20000,0,Partial High School,Manual,No,2,1-2 Miles,Europe,33,0
12056,Single,Female,80000,0,Bachelors,Professional,Yes,3,10+ Miles,Pacific,32,0
12060,Married,Female,100000,3,Bachelors,Management,No,4,2-5 Miles,Europe,60,0
12061,Married,Female,60000,0,Graduate Degree,Skilled Manual,Yes,0,0-1 Miles,Europe,39,0
12064,Married,Female,40000,3,High School,Skilled Manual,Yes,2,0-1 Miles,North America,45,0
12065,Single,Male,110000,5,High School,Management,Yes,2,10+ Miles,Europe,56,0
12066,Single,Male,40000,0,Partial High School,Clerical,Yes,2,5-10 Miles,North America,29,1
12068,Married,Female,60000,1,Partial High School,Skilled Manual,Yes,3,2-5 Miles,Europe,61,0
12070,Married,Male,110000,1,Graduate Degree,Management,Yes,0,1-2 Miles,North America,38,1
12073,Married,Male,40000,0,Partial College,Clerical,Yes,1,1-2 Miles,North America,48,1
12074,Married,Male,60000,0,Graduate Degree,Skilled Manual,Yes,0,0-1 Miles,North America,35,0
12085,Single,Male,40000,0,High School,Skilled Manual,No,2,0-1 Miles,North America,31,0
12111,Married,Female,40000,0,High School,Skilled Manual,Yes,2,5-10 Miles,North America,30,0
12115,Single,Male,60000,0,Bachelors,Professional,No,4,2-5 Miles,Pacific,31,0
12126,Single,Female,40000,0,Bachelors,Management,Yes,2,5-10 Miles,Pacific,68,0
12127,Single,Female,20000,0,Graduate Degree,Clerical,Yes,1,2-5 Miles,Europe,87,0
12135,Single,Male,70000,0,Partial High School,Skilled Manual,No,2,1-2 Miles,North America,52,0
12136,Married,Male,30000,0,Partial High School,Clerical,No,2,1-2 Miles,North America,62,0
